Проект,Мониторинг,"Срок жизни, в мес.",Cреднеарифметический % месячной доходности,Max просадка,Мах незафиксированная просадка,Общая доходность,"Среднемесячная доходность, %","Среднегодовая доходность, %",Лучший месяц,Худший месяц,Коэффициент Шарпа,05.21,06.21,07.21,08.21,09.21,10.21,11.21,12.21,01.22,02.22,03.22,04.22,05.22,06.22,07.22,08.22,09.22,10.22,11.22,12.22,01.23,02.23,03.23,04.23,05.23,06.23,07.23,08.23,09.23,10.23,11.23,12.23,01.24,02.24,03.24,04.24,05.24,06.24,07.24,08.24,09.24,10.24,11.24,12.24,01.25,02.25,03.25,04.25,05.25,06.25,07.25,08.25,09.25,10.25,11.25,12.25,01.26,02.26
Apnaadvisor Apna Advisor Futures,https://app.zignaly.com/profit-sharing/62b56b1823937f7e6f5fd694,45,"1,66","-41,80",,"71,13","1,58","12,62","35,63","-32,82","0,40",,,,,,,,,,,,,,"1,16","3,00","3,64","-2,23","11,08","12,88","-7,09","11,10","-10,58","4,72","3,14","2,64","-4,84","3,85","-7,51","4,06","5,33","1,73","0,39","2,97","-1,75","4,13","-32,82","35,63","-12,35","1,16","-11,94","2,59","5,45","14,20","7,30","1,81","-6,46","3,30","8,08","6,39","9,55","3,33","-4,46","1,76","8,99","-1,02","2,76","-2,76","-7,39"
Edvi trade Lion,https://tradelink.pro/portfolio/cac08260-cdbd-4b4b-9efc-a4916c9d89b7?t=1728972000,29,"5,36","-96,89",,"-66,99","-2,31","86,57","88,85","-95,80","0,40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,53","32,56","17,40","39,31","12,90","88,85","5,58","3,53","1,32","3,23","-3,83","3,92","3,32","21,70","10,98","5,54","0,56","6,21","-2,36","3,90","1,48","0,95","2,04","4,12","-95,80","-23,05","-0,02","0,85","6,65"
Systematic Trend Following Long Short No Leverage,https://app.zignaly.com/profit-sharing/6452b82c4bd338762d3b57a4,34,"3,85","-63,70",,"110,85","3,26","29,66","64,45","-23,06","0,41",,,,,,,,,,,,,,,,,,,,,,,,,"10,64","16,49","-8,33","0,00","0,00","3,95","11,63","54,35","-11,90","58,49","27,72","-23,06","1,23","-13,16","-8,34","-17,49","0,23","-16,92","64,45","8,55","-0,24","-2,85","0,65","7,66","-2,50","-7,45","13,99","-10,35","-7,77","-1,43","-0,12","-2,44","-4,18","-10,61"
Ed Khan Utopia (ex. Utopia Binance),https://tradelink.pro/portfolio/8e216b21-54de-42f0-a03c-5ea789163151,49,"2,63","-60,64",,"160,10","3,27","32,15","50,45","-18,36","0,42",,,,,,,,,,"50,45","14,50","1,37","25,65","8,98","-4,59","-2,61","5,48","-3,72","1,46","4,12","13,14","-1,68","9,42","3,58","-8,27","7,41","30,00","2,73","-12,84","0,46","-6,66","-3,55","-1,23","9,80","2,17","2,13","-6,70","-10,99","9,57","9,09","-3,67","-2,83","9,92","-12,98","-2,58","-18,36","-3,12","-9,69","-12,69","-3,32","4,23","10,52","-18,11","8,30","8,95","2,09","21,04","2,69"
Low Risk,https://tradelink.pro/strategy/daf0e017-af7e-4a54-9d45-d4079a01a777?t=1760623200,31,"4,22","-72,09",,"76,86","2,48","45,51","50,28","-66,45","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,93","7,19","6,47","18,49","39,44","12,52","17,06","50,28","-17,16","3,36","-1,37","0,77","6,83","2,04","1,53","8,34","6,02","11,30","-22,44","-10,83","4,13","10,50","-1,85","16,82","5,93","4,09","-66,45","-0,78","-7,97","6,96","-1,29"
Aquiles Scalper,https://app.zignaly.com/profit-sharing/5fd8abc4d8839644fe118b04,58,"4,88","-74,30",,"196,31","3,38","55,63","102,04","-43,83","0,45","44,35","-43,83","45,93","-20,38","11,25","-24,76","-18,16","-3,64","79,26","42,96","3,06","-12,15","-4,48","-24,61","102,04","-19,71","14,43","2,55","9,55","-9,72","21,15","-14,39","0,29","8,38","-1,44","-3,72","-8,74","2,66","-3,93","45,56","3,50","-1,25","-3,54","46,36","55,08","13,23","-8,29","1,97","-6,66","-0,66","-6,15","-17,85","67,62","-4,20","-13,90","-0,90","-15,92","5,47","4,34","-6,79","-7,35","-11,69","-3,58","-40,94","0,16","3,09","4,08","7,83"
Blueprint Algo,https://app.zignaly.com/profit-sharing/6401ef868aedc67e395181e8,36,"2,93","-40,60",,"107,46","2,98","28,49","72,72","-16,25","0,45",,,,,,,,,,,,,,,,,,,,,,,"11,93","-2,74","-4,24","4,42","-5,26","-0,89","0,00","14,12","5,65","27,07","-10,38","24,50","4,23","-2,42","-4,70","-3,33","-5,53","5,24","8,40","-7,99","72,72","2,89","2,62","-7,99","-9,13","-16,25","10,05","-4,77","14,34","-3,66","-1,48","-4,83","-0,85","-10,28","2,81","1,09"
Delta - Horizon Strategy (ex. Green Strategy),https://app.zignaly.com/profit-sharing/666dbb8d1db935befe0a5586,21,"5,61","-63,10",,"123,92","5,90","69,25","58,32","-24,04","0,46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,28","18,09","0,77","40,03","5,29","58,32","2,67","-13,84","-24,04","-18,90","0,58","0,74","-16,27","21,99","-1,75","5,80","17,10","-3,38","-17,09","23,43","3,92"
Quant Hill Crypto Trend USDT,https://tradelink.pro/portfolio/65e47ea48a4232bfcd1b7f8c?t=1712419200,58,"1,56","-25,14",,"108,84","1,88","14,38","28,45","-12,12","0,48","3,24","-2,64","1,40","-8,58","-0,41","4,46","-2,80","-3,99","5,14","0,29","0,02","-2,73","2,55","22,75","-4,89","0,65","-11,45","5,17","0,20","-8,65","28,45","0,46","1,38","1,47","-6,41","2,32","-7,66","11,72","-12,12","12,63","-7,27","5,60","-0,21","24,71","0,96","-1,46","3,54","-0,90","3,26","4,35","-1,22","0,32","11,32","-3,29","-1,06","-1,61","-3,98","2,28","4,75","-3,12","9,82","-0,41","1,87","4,86","5,27","-10,41","8,64","1,63"
SYNDICATE (ex SYNDICATE Midas),"https://tradelink.pro/portfolio/834307e5-1bf6-4c6c-a03c-170c3c79423d
https://invvo.com/strategy/9",47,"2,36","-74,08",,"138,80","2,95","30,40","16,30","-39,48","0,49",,,,,,,,,,,,"-1,97","10,84","11,50","8,34","4,17","5,88","3,56","8,48","4,50","3,91","-2,22","16,30","1,29","-2,21","9,54","3,77","7,30","1,13","2,86","4,32","2,44","4,17","-3,52","13,30","13,31","4,76","7,99","5,95","-1,48","4,44","3,03","4,13","-1,90","12,09","0,65","12,04","6,13","1,12","2,85","1,78","-2,81","6,55","-3,41","-18,25","-8,70","-17,60","-39,48"
