Проект,Мониторинг,"Срок жизни, в мес.",Cреднеарифметический % месячной доходности,Max просадка,Мах незафиксированная просадка,Общая доходность,"Среднемесячная доходность, %","Среднегодовая доходность, %",Лучший месяц,Худший месяц,Коэффициент Шарпа,05.21,06.21,07.21,08.21,09.21,10.21,11.21,12.21,01.22,02.22,03.22,04.22,05.22,06.22,07.22,08.22,09.22,10.22,11.22,12.22,01.23,02.23,03.23,04.23,05.23,06.23,07.23,08.23,09.23,10.23,11.23,12.23,01.24,02.24,03.24,04.24,05.24,06.24,07.24,08.24,09.24
Nikola-Tesla CryptoHunter,https://tradelink.pro/portfolio/c1cdf3b8-3a59-4344-b51c-c02c3344bc3c,24,"14,12","-26,20",,"1 394,36","58,10","126,69","138,28","-6,64","1,29",,,,,,,,,,,,,,,,,,"138,28","27,91","28,72","30,07","3,86","15,03","9,52","2,59","4,68","3,88","0,78","4,12","10,30","16,70","7,96","4,29","5,70","18,04","-6,64","8,52","5,08","1,81","-4,64","2,30"
SAVINSKYI PROFIT RANGE S1,https://tradelink.pro/portfolio/df18b46a-ff64-4d01-84e8-31027975e96d?t=1714802400,33,"2,28","-13,61",,"103,13","3,13","20,51","17,81","-6,58","1,34",,,,,,,,,"4,01","4,59","4,14","2,56","17,81","7,20","0,03","-1,15","-2,88","5,47","-1,03","-0,72","6,06","5,37","-5,47","-1,68","3,07","-6,58","2,10","-4,24","1,81","10,75","6,91","3,66","1,35","-0,38","9,37","-1,86","3,30","0,00","0,00","0,00","1,69"
Copy-Trade ICE LAB,https://copy-trade.pro/ice-lab-monitoring,24,"9,49",,,"410,49","17,10","58,26","74,80","-31,60","1,35",,,,,,,,,,,,,,,,,,"11,60","48,20","5,30","6,30","1,60","74,80","8,40","-12,34","55,60","-10,30","-10,07","-31,60","25,62","-3,33","24,65","16,01","16,77","0,00","-7,10","0,10","-5,34","21,17","17,75","-26,10"
Algotoria MIXED,https://tradelink.pro/portfolio/8d78b017-b2aa-47f1-8c92-ece97c3d7a82 ,33,"7,45","-47,25",,"527,94","16,00","68,46","94,10","-19,37","1,49",,,,,,,,,"-1,68","6,24","7,62","-11,15","12,46","10,94","15,33","-2,86","-7,02","5,15","2,27","-10,92","94,10","1,90","-2,94","0,98","-7,25","-2,39","-19,37","-10,00","-0,78","38,87","-6,34","38,56","13,69","46,15","12,03","-10,55","22,30","-11,28","15,25","3,89","2,51"
FieryTrading Bitcoin Omega 3d,https://app.zignaly.com/profit-sharing/6245c4cd8aedc679b61cf1a7,29,"12,79","-65,60",,"463,27","15,97","62,28","156,67","-42,53","1,54",,,,,,,,,,,,,"17,53","-1,91","16,30","-26,33","106,37","3,50","1,48","-8,25","38,65","3,63","-42,53","-24,63","-0,79","23,40","-18,31","13,30","-10,42","66,23","19,55","1,25","-6,45","156,67","7,88","-24,63","-23,62","-10,88","21,73","-31,62","103,93"
Arthem Capital Optimal less than 6000 USDT (ex. Optimal),"https://tradelink.pro/portfolio/5862e2a8-e951-40c7-afb6-fad2e1c76ba6
https://tradelink.pro/portfolio/db4b3150-aadc-4403-ac0b-4c587656c273",29,"5,74","-44,73",,"356,79","12,30","52,04","24,45","-17,50","1,60",,,,,,,,,,,,,"2,06","17,62","10,83","15,83","6,79","-1,76","24,45","-0,09","-8,13","8,37","20,49","5,22","2,33","3,71","10,81","-5,54","5,55","2,92","-17,50","-1,15","2,07","3,84","21,18","3,71","10,24","3,66","6,81","7,82","4,36"
Ed Khan 1st InFractals (ex.First InFractals),https://tradelink.pro/portfolio/ca39bb79-b9d6-4b06-bcd7-d80492275bae,37,"2,42","-27,15",,"124,59","3,37","22,69","27,39","-8,09","1,88",,,,,"4,53","3,14","2,62","1,30","4,02","1,76","-1,54","2,58","-4,38","2,17","1,75","1,10","7,62","2,39","2,14","0,38","-3,87","2,46","27,39","-1,29","-7,78","-1,10","-2,96","4,85","-8,09","0,46","-3,60","19,55","3,67","17,85","4,36","0,20","5,08","4,91","-2,44","-3,48","1,78"
IQ Security Fund ICE LAB,https://www.myfxbook.com/members/IceFXMarkets/ice-lab/9792935/Swzzjd7PGtUn42t0Ceh9,41,"6,32","-26,97",,"914,71","22,31","80,97","35,25","-10,51","2,19","0,22","3,02","4,47","-0,65","18,51","12,13","-1,76","1,87","7,18","11,76","5,87","4,40","0,48","11,52","5,46","-1,39","0,00","-0,32","12,18","-4,36","1,39","0,65","35,25","24,44","-4,34","32,80","-10,51","-3,66","-9,47","14,81","-2,77","2,28","-0,46","22,91","0,00","9,53","27,38","7,38","14,03","11,32","-4,61"
Triple AI Bourbaki Pro [BTC] (ex Прикольные инвестиции),https://tradelink.pro/portfolio/f9a96823-709b-46d0-926a-78707cf2c0dd,23,"9,45","-46,49",,"471,40","20,50","60,37","53,15","-25,19","2,43",,,,,,,,,,,,,,,,,,,"26,99","22,10","7,42","18,81","42,98","-0,20","-4,85","22,76","-25,19","10,60","-9,26","-15,57","9,95","15,53","0,00","35,72","-17,71","53,15","2,66","0,00","11,49","11,45","-1,39"
PHOENIX by hamster-bot,https://hamster-bot.com/phoenix,40,"1,95","-16,73",,"106,25","2,66","19,89","14,73","-12,24","3,55",,"0,52","-0,30","2,62","10,89","5,12","2,72","0,72","-0,59","1,61","0,43","2,96","6,00","3,12","10,31","-1,11","-12,24","-0,51","9,58","-0,47","14,73","0,96","2,50","-4,07","-4,31","5,55","-4,02","2,37","-4,28","2,93","-1,66","4,65","1,51","5,66","2,53","4,14","-5,13","5,99","-3,27","6,74","2,90"
SYNDICATE (ex SYNDICATE Midas),https://tradelink.pro/portfolio/834307e5-1bf6-4c6c-a03c-170c3c79423d,30,"5,09","-24,33",,"329,18","10,97","46,94","16,30","-3,52","9,03",,,,,,,,,,,,"-1,97","10,84","11,50","8,34","4,17","5,88","3,56","8,48","4,50","3,91","-2,22","16,30","1,29","-2,21","9,54","3,77","7,30","1,13","2,86","4,32","2,44","4,17","-3,52","13,30","13,31","4,76","7,99","5,95","-1,48","4,44"
Ed Khan CryptoGallery First InFractals,https://fund.edkhan.net/ranking/841,41,"3,94",,"-4,49","351,05","8,56","45,75","31,91","-7,59","14,78","11,92","8,32","4,30","1,57","6,49","3,14","2,62","1,29","4,02","2,14","-0,60","4,84","-2,00","3,88","3,21","3,27","8,97","3,18","4,30","2,72","-1,32","5,14","31,91","0,47","-7,59","-3,10","1,69","7,08","-6,46","0,46","-0,36","18,75","10,19","13,58","4,66","4,93","5,13","4,60","-4,31","-4,09","2,80"
MMM (ex. CosmoTrade),https://www.bybit.com/copyTrade/trade-center/detail?leaderMark=eRbN2R8ENCKBqCflZgVJjQ%3D%3D&ref=ZNAA8&linkUuid=648471fa-c1db-4819-a7f8-58ac4af7f099,16,"27,89","-99,99",,"-99,79","-6,24","-37,23","743,59","-99,62",-,,,,,,,,,,,,,,,,,,,,,,,,,,"-31,92","-14,03","36,32","-0,18","-33,90","-5,62","1,94","-99,62","743,59","-56,07","-7,26","4,80","-15,57","-34,54","-47,38","5,75"
Lumor Trading,https://app.zignaly.com/profit-sharing/64b2ec824bd338450e0fe186,15,"1,98","-99,20",,"-95,92","-6,39","-11,23","84,06","-98,11",-,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,52","4,54","1,57","8,59","11,00","13,94","8,29","7,08","84,06","-39,84","51,01","-26,99","-98,11","0,00","0,00"
TradeGPT Runbot ETH,https://app.zignaly.com/profit-sharing/641c7ca28aedc67f823a13a5,19,"-3,90","-96,70",,"-77,69","-4,09","5,68","39,62","-58,39",-,,,,,,,,,,,,,,,,,,,,,,,"4,27","7,51","11,00","4,89","10,67","-1,52","5,79","-12,21","38,72","15,80","1,31","-27,88","-2,43","39,62","-37,49","-9,40","-21,18","-58,39","-43,13"
